,Time,Sex,AgeStart,Value
2,1985,Both sexes,0,31267.5
5,1985,Both sexes,1,29680.5
8,1985,Both sexes,2,28169.5
11,1985,Both sexes,3,26949.0
14,1985,Both sexes,4,25918.0
17,1985,Both sexes,5,24897.5
20,1985,Both sexes,6,23930.5
23,1985,Both sexes,7,23005.0
26,1985,Both sexes,8,22097.0
29,1985,Both sexes,9,21175.0
32,1985,Both sexes,10,20210.0
35,1985,Both sexes,11,19272.0
38,1985,Both sexes,12,18420.5
41,1985,Both sexes,13,17623.5
44,1985,Both sexes,14,16844.0
47,1985,Both sexes,15,16065.999999999998
50,1985,Both sexes,16,15279.5
53,1985,Both sexes,17,14492.5
56,1985,Both sexes,18,13769.0
59,1985,Both sexes,19,13205.5
62,1985,Both sexes,20,12763.0
65,1985,Both sexes,21,12296.5
68,1985,Both sexes,22,11765.0
71,1985,Both sexes,23,11210.5
74,1985,Both sexes,24,10676.5
77,1985,Both sexes,25,10184.5
80,1985,Both sexes,26,9744.0
83,1985,Both sexes,27,9360.0
86,1985,Both sexes,28,9036.5
89,1985,Both sexes,29,8777.0
92,1985,Both sexes,30,8570.0
95,1985,Both sexes,31,8405.0
98,1985,Both sexes,32,8272.0
1,1985,Both sexes,33,8163.0
4,1985,Both sexes,34,8048.0
7,1985,Both sexes,35,7834.0
10,1985,Both sexes,36,7260.5
13,1985,Both sexes,37,6748.0
16,1985,Both sexes,38,6497.0
19,1985,Both sexes,39,6166.5
22,1985,Both sexes,40,5823.0
25,1985,Both sexes,41,5492.5
28,1985,Both sexes,42,5188.0
31,1985,Both sexes,43,4901.0
34,1985,Both sexes,44,4635.5
37,1985,Both sexes,45,4396.0
40,1985,Both sexes,46,4192.0
43,1985,Both sexes,47,3994.0
46,1985,Both sexes,48,3770.0
49,1985,Both sexes,49,3541.0
52,1985,Both sexes,50,3339.5
55,1985,Both sexes,51,3162.5
58,1985,Both sexes,52,2989.5
61,1985,Both sexes,53,2822.0
64,1985,Both sexes,54,2665.5
67,1985,Both sexes,55,2528.5
70,1985,Both sexes,56,2411.5
73,1985,Both sexes,57,2313.0
76,1985,Both sexes,58,2226.0
79,1985,Both sexes,59,2144.5
82,1985,Both sexes,60,2072.5
85,1985,Both sexes,61,2005.5
88,1985,Both sexes,62,1943.0
91,1985,Both sexes,63,1888.5
94,1985,Both sexes,64,1834.0
97,1985,Both sexes,65,1775.0
0,1985,Both sexes,66,1709.5
3,1985,Both sexes,67,1631.0
6,1985,Both sexes,68,1544.5
9,1985,Both sexes,69,1452.5
12,1985,Both sexes,70,1359.0
15,1985,Both sexes,71,1265.5
18,1985,Both sexes,72,1169.5
21,1985,Both sexes,73,1078.0
24,1985,Both sexes,74,986.5
27,1985,Both sexes,75,890.0
30,1985,Both sexes,76,796.5
33,1985,Both sexes,77,708.5
36,1985,Both sexes,78,622.0
39,1985,Both sexes,79,539.0
42,1985,Both sexes,80,461.0
45,1985,Both sexes,81,389.5
48,1985,Both sexes,82,324.0
51,1985,Both sexes,83,264.0
54,1985,Both sexes,84,213.0
57,1985,Both sexes,85,169.5
60,1985,Both sexes,86,134.0
63,1985,Both sexes,87,104.0
66,1985,Both sexes,88,79.5
69,1985,Both sexes,89,60.0
72,1985,Both sexes,90,44.0
75,1985,Both sexes,91,32.0
78,1985,Both sexes,92,22.5
81,1985,Both sexes,93,15.5
84,1985,Both sexes,94,11.0
87,1985,Both sexes,95,6.5
90,1985,Both sexes,96,4.5
93,1985,Both sexes,97,3.0
96,1985,Both sexes,98,2.0
99,1985,Both sexes,99,1.0
2,1985,Both sexes,100,0.0
