,Time,Sex,AgeStart,Value
0,1985,Both sexes,15,71.60900000000001
1,1985,Both sexes,16,122.882
2,1985,Both sexes,17,175.565
3,1985,Both sexes,18,224.334
4,1985,Both sexes,19,258.94800000000004
5,1985,Both sexes,20,278.27299999999997
6,1985,Both sexes,21,287.115
7,1985,Both sexes,22,287.724
8,1985,Both sexes,23,284.762
9,1985,Both sexes,24,279.74399999999997
10,1985,Both sexes,25,274.61400000000003
11,1985,Both sexes,26,269.9
12,1985,Both sexes,27,265.258
13,1985,Both sexes,28,260.555
14,1985,Both sexes,29,255.49
15,1985,Both sexes,30,250.197
16,1985,Both sexes,31,243.947
17,1985,Both sexes,32,236.644
18,1985,Both sexes,33,226.95000000000002
19,1985,Both sexes,34,215.022
20,1985,Both sexes,35,202.224
21,1985,Both sexes,36,190.14800000000002
22,1985,Both sexes,37,177.065
23,1985,Both sexes,38,162.86100000000002
24,1985,Both sexes,39,148.05599999999998
25,1985,Both sexes,40,133.646
26,1985,Both sexes,41,114.885
27,1985,Both sexes,42,93.56200000000001
28,1985,Both sexes,43,73.019
29,1985,Both sexes,44,54.366
30,1985,Both sexes,45,37.159
31,1985,Both sexes,46,26.154
32,1985,Both sexes,47,17.916
33,1985,Both sexes,48,11.986
34,1985,Both sexes,49,7.023
0,1995,Both sexes,15,49.897999999999996
1,1995,Both sexes,16,89.161
2,1995,Both sexes,17,128.62699999999998
3,1995,Both sexes,18,163.656
4,1995,Both sexes,19,185.326
5,1995,Both sexes,20,193.501
6,1995,Both sexes,21,197.71
7,1995,Both sexes,22,200.178
8,1995,Both sexes,23,202.343
9,1995,Both sexes,24,204.35500000000002
10,1995,Both sexes,25,205.564
11,1995,Both sexes,26,205.47799999999998
12,1995,Both sexes,27,203.892
13,1995,Both sexes,28,200.69899999999998
14,1995,Both sexes,29,195.75
15,1995,Both sexes,30,189.155
16,1995,Both sexes,31,182.203
17,1995,Both sexes,32,174.974
18,1995,Both sexes,33,167.196
19,1995,Both sexes,34,158.765
20,1995,Both sexes,35,149.53
21,1995,Both sexes,36,139.388
22,1995,Both sexes,37,128.417
23,1995,Both sexes,38,116.58
24,1995,Both sexes,39,103.676
25,1995,Both sexes,40,89.895
26,1995,Both sexes,41,74.834
27,1995,Both sexes,42,59.172000000000004
28,1995,Both sexes,43,44.711
29,1995,Both sexes,44,32.072
30,1995,Both sexes,45,21.203
31,1995,Both sexes,46,14.4
32,1995,Both sexes,47,9.41
33,1995,Both sexes,48,5.897
34,1995,Both sexes,49,3.214
0,2005,Both sexes,15,33.332
1,2005,Both sexes,16,64.594
2,2005,Both sexes,17,101.07
3,2005,Both sexes,18,138.792
4,2005,Both sexes,19,166.267
5,2005,Both sexes,20,181.331
6,2005,Both sexes,21,186.992
7,2005,Both sexes,22,184.875
8,2005,Both sexes,23,180.102
9,2005,Both sexes,24,174.22099999999998
10,2005,Both sexes,25,168.903
11,2005,Both sexes,26,164.661
12,2005,Both sexes,27,161.903
13,2005,Both sexes,28,160.356
14,2005,Both sexes,29,158.40599999999998
15,2005,Both sexes,30,155.654
16,2005,Both sexes,31,151.606
17,2005,Both sexes,32,146.226
18,2005,Both sexes,33,139.484
19,2005,Both sexes,34,131.402
20,2005,Both sexes,35,122.10799999999999
21,2005,Both sexes,36,111.749
22,2005,Both sexes,37,100.823
23,2005,Both sexes,38,89.422
24,2005,Both sexes,39,77.445
25,2005,Both sexes,40,64.993
26,2005,Both sexes,41,52.432
27,2005,Both sexes,42,40.148999999999994
28,2005,Both sexes,43,29.278
29,2005,Both sexes,44,20.179
30,2005,Both sexes,45,12.664
31,2005,Both sexes,46,8.145
32,2005,Both sexes,47,4.95
33,2005,Both sexes,48,2.8289999999999997
34,2005,Both sexes,49,1.392
0,2015,Both sexes,15,20.784
1,2015,Both sexes,16,43.507999999999996
2,2015,Both sexes,17,74.42
3,2015,Both sexes,18,110.712
4,2015,Both sexes,19,141.125
5,2015,Both sexes,20,162.36100000000002
6,2015,Both sexes,21,171.70499999999998
7,2015,Both sexes,22,169.995
8,2015,Both sexes,23,164.119
9,2015,Both sexes,24,156.28900000000002
10,2015,Both sexes,25,149.237
11,2015,Both sexes,26,143.965
12,2015,Both sexes,27,140.799
13,2015,Both sexes,28,139.432
14,2015,Both sexes,29,138.056
15,2015,Both sexes,30,136.263
16,2015,Both sexes,31,132.354
17,2015,Both sexes,32,126.36200000000001
18,2015,Both sexes,33,118.419
19,2015,Both sexes,34,108.80199999999999
20,2015,Both sexes,35,98.277
21,2015,Both sexes,36,87.85600000000001
22,2015,Both sexes,37,77.512
23,2015,Both sexes,38,67.358
24,2015,Both sexes,39,57.562000000000005
25,2015,Both sexes,40,48.461
26,2015,Both sexes,41,39.025999999999996
27,2015,Both sexes,42,29.832
28,2015,Both sexes,43,21.801000000000002
29,2015,Both sexes,44,15.176
30,2015,Both sexes,45,9.602
31,2015,Both sexes,46,6.213
32,2015,Both sexes,47,3.875
33,2015,Both sexes,48,2.398
34,2015,Both sexes,49,1.309
10,2025,Both sexes,15,17.551000000000002
24,2025,Both sexes,16,37.281
44,2025,Both sexes,17,64.493
61,2025,Both sexes,18,96.70700000000001
78,2025,Both sexes,19,123.697
95,2025,Both sexes,20,142.437
12,2025,Both sexes,21,150.37300000000002
29,2025,Both sexes,22,148.283
43,2025,Both sexes,23,142.612
63,2025,Both sexes,24,135.412
80,2025,Both sexes,25,129.16
97,2025,Both sexes,26,124.753
14,2025,Both sexes,27,122.396
31,2025,Both sexes,28,121.75
48,2025,Both sexes,29,120.99
65,2025,Both sexes,30,119.676
82,2025,Both sexes,31,116.13
99,2025,Both sexes,32,110.41
16,2025,Both sexes,33,102.85900000000001
33,2025,Both sexes,34,93.77099999999999
50,2025,Both sexes,35,83.826
67,2025,Both sexes,36,73.91499999999999
84,2025,Both sexes,37,64.218
1,2025,Both sexes,38,54.868
18,2025,Both sexes,39,45.977
35,2025,Both sexes,40,37.775999999999996
52,2025,Both sexes,41,29.703
69,2025,Both sexes,42,22.153
86,2025,Both sexes,43,15.762000000000002
3,2025,Both sexes,44,10.674
20,2025,Both sexes,45,6.531000000000001
37,2025,Both sexes,46,4.105
54,2025,Both sexes,47,2.458
71,2025,Both sexes,48,1.435
89,2025,Both sexes,49,0.736
10,2035,Both sexes,15,14.083
24,2035,Both sexes,16,30.972
44,2035,Both sexes,17,55.124
61,2035,Both sexes,18,84.44
78,2035,Both sexes,19,109.454
95,2035,Both sexes,20,127.164
12,2035,Both sexes,21,134.73499999999999
29,2035,Both sexes,22,132.771
43,2035,Both sexes,23,127.574
63,2035,Both sexes,24,121.139
80,2035,Both sexes,25,115.80600000000001
97,2035,Both sexes,26,112.426
14,2035,Both sexes,27,111.04700000000001
31,2035,Both sexes,28,111.29799999999999
