,Time,Sex,AgeStart,Value
0,1985,Male,0,338792.0
1,1985,Female,0,367404.0
2,1985,Both sexes,0,706196.0
0,1986,Male,0,353278.0
1,1986,Female,0,381454.0
2,1986,Both sexes,0,734732.0
0,1987,Male,0,367939.0
1,1987,Female,0,395871.5
2,1987,Both sexes,0,763810.5
0,1988,Male,0,386033.5
1,1988,Female,0,413764.5
2,1988,Both sexes,0,799798.0
0,1989,Male,0,405120.0
1,1989,Female,0,432680.0
2,1989,Both sexes,0,837800.0
0,1990,Male,0,422511.0
1,1990,Female,0,449917.5
2,1990,Both sexes,0,872428.5
0,1991,Male,0,440460.0
1,1991,Female,0,467729.5
2,1991,Both sexes,0,908189.5
0,1992,Male,0,458143.5
1,1992,Female,0,485272.5
2,1992,Both sexes,0,943416.0
0,1993,Male,0,472182.0
1,1993,Female,0,499136.5
2,1993,Both sexes,0,971318.5
0,1994,Male,0,472266.0
1,1994,Female,0,498946.5
2,1994,Both sexes,0,971212.5
0,1995,Male,0,472045.5
1,1995,Female,0,498388.0
2,1995,Both sexes,0,970433.5
0,1996,Male,0,481936.5
1,1996,Female,0,507905.0
2,1996,Both sexes,0,989841.5
0,1997,Male,0,489818.0
1,1997,Female,0,516817.0
2,1997,Both sexes,0,1006635.0
0,1998,Male,0,495088.0
1,1998,Female,0,524564.5
2,1998,Both sexes,0,1019652.5
0,1999,Male,0,499410.5
1,1999,Female,0,531371.5
2,1999,Both sexes,0,1030781.9999999999
0,2000,Male,0,503483.0
1,2000,Female,0,537930.5
2,2000,Both sexes,0,1041413.5000000001
0,2001,Male,0,507063.0
1,2001,Female,0,544001.5
2,2001,Both sexes,0,1051064.5
0,2002,Male,0,509970.0
1,2002,Female,0,549471.5
2,2002,Both sexes,0,1059441.5
0,2003,Male,0,512299.49999999994
1,2003,Female,0,554400.5
2,2003,Both sexes,0,1066700.0
0,2004,Male,0,514307.5
1,2004,Female,0,558851.0
2,2004,Both sexes,0,1073158.5
0,2005,Male,0,516118.50000000006
1,2005,Female,0,562903.0
2,2005,Both sexes,0,1079021.5
0,2006,Male,0,517685.50000000006
1,2006,Female,0,566750.5
2,2006,Both sexes,0,1084436.0
0,2007,Male,0,520447.0
1,2007,Female,0,570258.0
2,2007,Both sexes,0,1090705.0
0,2008,Male,0,525045.0
1,2008,Female,0,573046.5
2,2008,Both sexes,0,1098091.5
0,2009,Male,0,529980.0
1,2009,Female,0,575173.5
2,2009,Both sexes,0,1105153.5
0,2010,Male,0,534658.0
1,2010,Female,0,576992.0
2,2010,Both sexes,0,1111650.0
0,2011,Male,0,539140.5
1,2011,Female,0,578693.0
2,2011,Both sexes,0,1117833.5
0,2012,Male,0,543458.0
1,2012,Female,0,580405.5
2,2012,Both sexes,0,1123863.5
0,2013,Male,0,547682.5
1,2013,Female,0,582307.5
2,2013,Both sexes,0,1129990.0
0,2014,Male,0,551923.5
1,2014,Female,0,584375.5
2,2014,Both sexes,0,1136299.0
0,2015,Male,0,556280.5
1,2015,Female,0,586532.0
2,2015,Both sexes,0,1142812.5
0,2016,Male,0,560718.0
1,2016,Female,0,588789.5
2,2016,Both sexes,0,1149507.5
0,2017,Male,0,565950.0
1,2017,Female,0,592244.5
2,2017,Both sexes,0,1158194.5
0,2018,Male,0,572024.0
1,2018,Female,0,596905.5
2,2018,Both sexes,0,1168929.5
0,2019,Male,0,578194.5
1,2019,Female,0,601679.5
2,2019,Both sexes,0,1179874.0
0,2020,Male,0,585072.0
1,2020,Female,0,607657.5
2,2020,Both sexes,0,1192729.5
0,2021,Male,0,592169.5
1,2021,Female,0,614424.0
2,2021,Both sexes,0,1206593.5
0,2022,Male,0,598334.0
1,2022,Female,0,620582.5
2,2022,Both sexes,0,1218916.5
0,2023,Male,0,604016.0
1,2023,Female,0,626490.0
2,2023,Both sexes,0,1230506.0
2,2024,Male,0,610191.0
18,2024,Female,0,632630.5
35,2024,Both sexes,0,1242821.5
2,2025,Male,0,616994.5
18,2025,Female,0,639179.5
35,2025,Both sexes,0,1256174.0
2,2026,Male,0,623950.0
18,2026,Female,0,645908.5
35,2026,Both sexes,0,1269858.5
2,2027,Male,0,630741.0
18,2027,Female,0,652481.0
35,2027,Both sexes,0,1283222.0
2,2028,Male,0,637227.0
18,2028,Female,0,658740.5
35,2028,Both sexes,0,1295967.5
2,2029,Male,0,643536.0
18,2029,Female,0,664813.5
35,2029,Both sexes,0,1308349.5
2,2030,Male,0,649924.0
18,2030,Female,0,670994.5
35,2030,Both sexes,0,1320918.5
2,2031,Male,0,656149.5
18,2031,Female,0,677021.0
35,2031,Both sexes,0,1333170.5
2,2032,Male,0,662111.0
18,2032,Female,0,682785.5
35,2032,Both sexes,0,1344896.5
2,2033,Male,0,668116.0
18,2033,Female,0,688628.0
35,2033,Both sexes,0,1356744.0
2,2034,Male,0,674000.0
18,2034,Female,0,694359.0
35,2034,Both sexes,0,1368359.0
2,2035,Male,0,679604.5
18,2035,Female,0,699813.5
35,2035,Both sexes,0,1379418.0
2,2036,Male,0,685038.0
18,2036,Female,0,705117.0
35,2036,Both sexes,0,1390155.0
2,2037,Male,0,690243.5
18,2037,Female,0,710201.5
35,2037,Both sexes,0,1400445.0
2,2038,Male,0,695319.0
18,2038,Female,0,715182.0
35,2038,Both sexes,0,1410501.0
2,2039,Male,0,700330.5
18,2039,Female,0,720120.5
35,2039,Both sexes,0,1420451.0
2,2040,Male,0,705030.5
18,2040,Female,0,724750.5
35,2040,Both sexes,0,1429781.0
2,2041,Male,0,709677.5
18,2041,Female,0,729366.0
35,2041,Both sexes,0,1439043.5
2,2042,Male,0,714213.0
18,2042,Female,0,733897.0
35,2042,Both sexes,0,1448110.0
2,2043,Male,0,718382.5
18,2043,Female,0,738067.0
35,2043,Both sexes,0,1456449.5
2,2044,Male,0,722328.5
18,2044,Female,0,742041.0
35,2044,Both sexes,0,1464369.5
2,2045,Male,0,726180.0
18,2045,Female,0,745957.0
35,2045,Both sexes,0,1472137.0
2,2046,Male,0,729870.5
18,2046,Female,0,749740.5
35,2046,Both sexes,0,1479611.0
2,2047,Male,0,733254.0
18,2047,Female,0,753240.0
35,2047,Both sexes,0,1486494.0
2,2048,Male,0,736448.0
18,2048,Female,0,756574.5
35,2048,Both sexes,0,1493022.5
2,2049,Male,0,739564.0
18,2049,Female,0,759870.5
35,2049,Both sexes,0,1499434.5
2,2050,Male,0,742408.5
18,2050,Female,0,762922.5
35,2050,Both sexes,0,1505331.0
2,2051,Male,0,745019.5
18,2051,Female,0,765762.0
35,2051,Both sexes,0,1510781.5
2,2052,Male,0,747471.0
18,2052,Female,0,768471.0
35,2052,Both sexes,0,1515942.0
2,2053,Male,0,749602.0
18,2053,Female,0,770879.0
35,2053,Both sexes,0,1520481.0
2,2054,Male,0,751397.5
18,2054,Female,0,772965.0
35,2054,Both sexes,0,1524362.5
2,2055,Male,0,752896.0
18,2055,Female,0,774768.5
35,2055,Both sexes,0,1527664.5
2,2056,Male,0,754206.0
18,2056,Female,0,776405.0
35,2056,Both sexes,0,1530611.0
2,2057,Male,0,755408.0
18,2057,Female,0,777953.0
35,2057,Both sexes,0,1533361.0
2,2058,Male,0,756547.0
18,2058,Female,0,779470.5
35,2058,Both sexes,0,1536017.5
2,2059,Male,0,757468.5
18,2059,Female,0,780780.0
35,2059,Both sexes,0,1538248.5
2,2060,Male,0,757943.0
18,2060,Female,0,781621.5
35,2060,Both sexes,0,1539564.5
2,2061,Male,0,758151.5
18,2061,Female,0,782203.0
35,2061,Both sexes,0,1540354.5
2,2062,Male,0,758259.5
18,2062,Female,0,782693.0
35,2062,Both sexes,0,1540952.5
2,2063,Male,0,758136.5
18,2063,Female,0,782939.5
35,2063,Both sexes,0,1541076.0
2,2064,Male,0,757808.5
18,2064,Female,0,782971.0
35,2064,Both sexes,0,1540779.5
2,2065,Male,0,757320.0
18,2065,Female,0,782833.0
35,2065,Both sexes,0,1540153.0
2,2066,Male,0,756734.0
18,2066,Female,0,782599.0
35,2066,Both sexes,0,1539333.0
2,2067,Male,0,755928.5
18,2067,Female,0,782124.5
35,2067,Both sexes,0,1538053.0
2,2068,Male,0,754832.0
18,2068,Female,0,781333.0
35,2068,Both sexes,0,1536165.0
2,2069,Male,0,753545.0
18,2069,Female,0,780345.5
35,2069,Both sexes,0,1533890.5
2,2070,Male,0,752181.5
18,2070,Female,0,779271.5
35,2070,Both sexes,0,1531453.0
2,2071,Male,0,750677.0
18,2071,Female,0,778036.0
35,2071,Both sexes,0,1528713.0
2,2072,Male,0,748971.0
18,2072,Female,0,776576.0
35,2072,Both sexes,0,1525547.0
2,2073,Male,0,747126.0
18,2073,Female,0,774969.5
35,2073,Both sexes,0,1522095.5
2,2074,Male,0,745001.0
18,2074,Female,0,773054.5
35,2074,Both sexes,0,1518055.5
2,2075,Male,0,742713.5
18,2075,Female,0,770957.5
35,2075,Both sexes,0,1513671.0
2,2076,Male,0,740313.5
18,2076,Female,0,768746.5
35,2076,Both sexes,0,1509060.0
2,2077,Male,0,737814.0
17,2077,Female,0,766435.0
35,2077,Both sexes,0,1504249.0
2,2078,Male,0,735411.5
17,2078,Female,0,764229.0
35,2078,Both sexes,0,1499640.5
2,2079,Male,0,732962.5
17,2079,Female,0,761970.5
35,2079,Both sexes,0,1494933.0
2,2080,Male,0,730301.0
17,2080,Female,0,759489.5
35,2080,Both sexes,0,1489790.5
2,2081,Male,0,727535.5
17,2081,Female,0,756901.5
35,2081,Both sexes,0,1484437.0
2,2082,Male,0,724551.0
17,2082,Female,0,754067.5
35,2082,Both sexes,0,1478618.5
2,2083,Male,0,721302.0
17,2083,Female,0,750947.0
35,2083,Both sexes,0,1472249.0
2,2084,Male,0,717858.5
17,2084,Female,0,747620.5
35,2084,Both sexes,0,1465479.0
2,2085,Male,0,714247.0
17,2085,Female,0,744096.0
35,2085,Both sexes,0,1458343.0
