,Time,Sex,AgeStart,Value
0,1985,Male,0,338792
1,1985,Female,0,367404
2,1985,Both sexes,0,706196
0,1995,Male,0,472045.5
1,1995,Female,0,498388
2,1995,Both sexes,0,970433.5
0,2005,Male,0,516118.5
1,2005,Female,0,562903
2,2005,Both sexes,0,1079021.5
0,2015,Male,0,556280.5
1,2015,Female,0,586532
2,2015,Both sexes,0,1142812.5
2,2025,Male,0,616994.5
18,2025,Female,0,639179.5
35,2025,Both sexes,0,1256174
2,2035,Male,0,679604.5
18,2035,Female,0,699813.5
35,2035,Both sexes,0,1379418
2,2045,Male,0,726180
18,2045,Female,0,745957
35,2045,Both sexes,0,1472137
2,2055,Male,0,752896
18,2055,Female,0,774768.5
35,2055,Both sexes,0,1527664.5
2,2065,Male,0,757320
18,2065,Female,0,782833
35,2065,Both sexes,0,1540153
2,2075,Male,0,742713.5
18,2075,Female,0,770957.5
35,2075,Both sexes,0,1513671
2,2085,Male,0,714247
17,2085,Female,0,744096
35,2085,Both sexes,0,1458343
2,2095,Male,0,676328.5
17,2095,Female,0,706681
35,2095,Both sexes,0,1383009.5
