,Time,Sex,AgeStart,Value
2,2010,Both sexes,0,548953.5
5,2010,Both sexes,1,526948.5
8,2010,Both sexes,2,509059.5
11,2010,Both sexes,3,492231.5
14,2010,Both sexes,4,474405.5
17,2010,Both sexes,5,455293.5
20,2010,Both sexes,6,436396.0
23,2010,Both sexes,7,419882.0
26,2010,Both sexes,8,406108.0
29,2010,Both sexes,9,394099.5
32,2010,Both sexes,10,382753.5
35,2010,Both sexes,11,370762.0
38,2010,Both sexes,12,358539.5
41,2010,Both sexes,13,347166.5
44,2010,Both sexes,14,336893.5
47,2010,Both sexes,15,326451.0
50,2010,Both sexes,16,315844.5
53,2010,Both sexes,17,305783.0
56,2010,Both sexes,18,297612.5
59,2010,Both sexes,19,290500.5
62,2010,Both sexes,20,283191.5
65,2010,Both sexes,21,275739.5
68,2010,Both sexes,22,268490.0
71,2010,Both sexes,23,261574.0
74,2010,Both sexes,24,254117.5
77,2010,Both sexes,25,245829.0
80,2010,Both sexes,26,237276.0
83,2010,Both sexes,27,228620.5
86,2010,Both sexes,28,219640.5
89,2010,Both sexes,29,211002.0
92,2010,Both sexes,30,203550.5
95,2010,Both sexes,31,196549.0
98,2010,Both sexes,32,189018.0
1,2010,Both sexes,33,180903.0
4,2010,Both sexes,34,172532.0
7,2010,Both sexes,35,163231.5
10,2010,Both sexes,36,153529.5
13,2010,Both sexes,37,144570.0
16,2010,Both sexes,38,135799.0
19,2010,Both sexes,39,127548.0
22,2010,Both sexes,40,119497.5
25,2010,Both sexes,41,111946.0
28,2010,Both sexes,42,105149.0
31,2010,Both sexes,43,98844.0
34,2010,Both sexes,44,93185.0
37,2010,Both sexes,45,87908.5
40,2010,Both sexes,46,82991.0
43,2010,Both sexes,47,78266.5
46,2010,Both sexes,48,73699.5
49,2010,Both sexes,49,69403.0
52,2010,Both sexes,50,65183.00000000001
55,2010,Both sexes,51,61076.0
58,2010,Both sexes,52,57195.0
61,2010,Both sexes,53,53563.0
64,2010,Both sexes,54,50232.0
67,2010,Both sexes,55,47152.0
70,2010,Both sexes,56,44243.5
73,2010,Both sexes,57,41511.5
76,2010,Both sexes,58,38961.5
79,2010,Both sexes,59,36669.0
82,2010,Both sexes,60,33363.0
85,2010,Both sexes,61,29756.0
88,2010,Both sexes,62,28218.5
91,2010,Both sexes,63,27333.5
94,2010,Both sexes,64,25811.5
97,2010,Both sexes,65,24190.5
0,2010,Both sexes,66,22539.0
3,2010,Both sexes,67,20964.0
6,2010,Both sexes,68,19483.5
9,2010,Both sexes,69,18101.0
12,2010,Both sexes,70,16813.5
15,2010,Both sexes,71,15627.5
18,2010,Both sexes,72,14449.0
21,2010,Both sexes,73,13209.0
24,2010,Both sexes,74,11973.5
27,2010,Both sexes,75,10821.0
30,2010,Both sexes,76,9762.0
33,2010,Both sexes,77,8748.0
36,2010,Both sexes,78,7771.0
39,2010,Both sexes,79,6848.0
42,2010,Both sexes,80,5991.5
45,2010,Both sexes,81,5205.5
48,2010,Both sexes,82,4481.5
51,2010,Both sexes,83,3816.0
54,2010,Both sexes,84,3211.0
57,2010,Both sexes,85,2664.5
60,2010,Both sexes,86,2182.0
63,2010,Both sexes,87,1761.0
66,2010,Both sexes,88,1395.5
69,2010,Both sexes,89,1085.0
72,2010,Both sexes,90,829.0
75,2010,Both sexes,91,622.5
78,2010,Both sexes,92,458.5
81,2010,Both sexes,93,332.0
84,2010,Both sexes,94,236.0
87,2010,Both sexes,95,163.0
90,2010,Both sexes,96,110.0
93,2010,Both sexes,97,73.0
96,2010,Both sexes,98,48.0
99,2010,Both sexes,99,30.0
2,2010,Both sexes,100,44.0
