,Time,Sex,AgeStart,Value
0,1990,Both sexes,15,58.153000000000006
1,1990,Both sexes,16,103.869
2,1990,Both sexes,17,154.368
3,1990,Both sexes,18,204.913
4,1990,Both sexes,19,243.755
5,1990,Both sexes,20,268.789
6,1990,Both sexes,21,282.93800000000005
7,1990,Both sexes,22,287.93600000000004
8,1990,Both sexes,23,288.914
9,1990,Both sexes,24,287.47499999999997
10,1990,Both sexes,25,285.50199999999995
11,1990,Both sexes,26,283.346
12,1990,Both sexes,27,280.17199999999997
13,1990,Both sexes,28,275.91900000000004
14,1990,Both sexes,29,271.111
15,1990,Both sexes,30,266.038
16,1990,Both sexes,31,259.923
17,1990,Both sexes,32,252.658
18,1990,Both sexes,33,242.982
19,1990,Both sexes,34,231.14499999999998
20,1990,Both sexes,35,218.816
21,1990,Both sexes,36,207.56199999999998
22,1990,Both sexes,37,195.026
23,1990,Both sexes,38,181.081
24,1990,Both sexes,39,166.796
25,1990,Both sexes,40,152.886
26,1990,Both sexes,41,134.201
27,1990,Both sexes,42,112.22999999999999
28,1990,Both sexes,43,90.972
29,1990,Both sexes,44,71.56899999999999
30,1990,Both sexes,45,54.701
31,1990,Both sexes,46,41.323
32,1990,Both sexes,47,30.873
33,1990,Both sexes,48,22.783
34,1990,Both sexes,49,14.669
0,2000,Both sexes,15,62.417
1,2000,Both sexes,16,111.512
2,2000,Both sexes,17,163.33800000000002
3,2000,Both sexes,18,212.24
4,2000,Both sexes,19,245.348
5,2000,Both sexes,20,261.10699999999997
6,2000,Both sexes,21,266.34200000000004
7,2000,Both sexes,22,263.88800000000003
8,2000,Both sexes,23,260.158
9,2000,Both sexes,24,256.906
10,2000,Both sexes,25,255.37300000000002
11,2000,Both sexes,26,255.517
12,2000,Both sexes,27,255.14
13,2000,Both sexes,28,253.66699999999997
14,2000,Both sexes,29,250.70999999999998
15,2000,Both sexes,30,246.53900000000002
16,2000,Both sexes,31,239.924
17,2000,Both sexes,32,231.0
18,2000,Both sexes,33,218.723
19,2000,Both sexes,34,203.65800000000002
20,2000,Both sexes,35,188.226
21,2000,Both sexes,36,175.194
22,2000,Both sexes,37,162.069
23,2000,Both sexes,38,148.715
24,2000,Both sexes,39,135.844
25,2000,Both sexes,40,124.761
26,2000,Both sexes,41,108.688
27,2000,Both sexes,42,89.714
28,2000,Both sexes,43,71.221
29,2000,Both sexes,44,54.260999999999996
30,2000,Both sexes,45,38.369
31,2000,Both sexes,46,27.668000000000003
32,2000,Both sexes,47,19.546
33,2000,Both sexes,48,13.593
34,2000,Both sexes,49,8.292000000000002
0,2010,Both sexes,15,48.472
1,2010,Both sexes,16,90.744
2,2010,Both sexes,17,136.669
3,2010,Both sexes,18,181.19299999999998
4,2010,Both sexes,19,212.482
5,2010,Both sexes,20,229.063
6,2010,Both sexes,21,237.714
7,2010,Both sexes,22,240.437
8,2010,Both sexes,23,240.623
9,2010,Both sexes,24,239.208
10,2010,Both sexes,25,236.989
11,2010,Both sexes,26,234.025
12,2010,Both sexes,27,230.492
13,2010,Both sexes,28,226.373
14,2010,Both sexes,29,221.489
15,2010,Both sexes,30,215.949
16,2010,Both sexes,31,210.44899999999998
17,2010,Both sexes,32,204.89499999999998
18,2010,Both sexes,33,198.21800000000002
19,2010,Both sexes,34,190.282
20,2010,Both sexes,35,181.38299999999998
21,2010,Both sexes,36,171.843
22,2010,Both sexes,37,160.889
23,2010,Both sexes,38,148.428
24,2010,Both sexes,39,134.653
25,2010,Both sexes,40,120.009
26,2010,Both sexes,41,102.473
27,2010,Both sexes,42,83.141
28,2010,Both sexes,43,64.739
29,2010,Both sexes,44,48.168
30,2010,Both sexes,45,33.739
31,2010,Both sexes,46,23.727
32,2010,Both sexes,47,16.346
33,2010,Both sexes,48,11.148
34,2010,Both sexes,49,6.659
0,2020,Both sexes,15,43.94
1,2020,Both sexes,16,85.44200000000001
2,2020,Both sexes,17,128.675
3,2020,Both sexes,18,167.907
4,2020,Both sexes,19,190.727
5,2020,Both sexes,20,196.334
6,2020,Both sexes,21,196.00300000000001
7,2020,Both sexes,22,192.591
8,2020,Both sexes,23,189.755
9,2020,Both sexes,24,188.237
10,2020,Both sexes,25,187.766
11,2020,Both sexes,26,187.801
12,2020,Both sexes,27,187.56
13,2020,Both sexes,28,186.631
14,2020,Both sexes,29,184.094
15,2020,Both sexes,30,179.843
16,2020,Both sexes,31,174.764
17,2020,Both sexes,32,168.887
18,2020,Both sexes,33,161.898
19,2020,Both sexes,34,153.761
20,2020,Both sexes,35,144.63500000000002
21,2020,Both sexes,36,134.553
22,2020,Both sexes,37,123.66099999999999
23,2020,Both sexes,38,111.946
24,2020,Both sexes,39,99.22699999999999
25,2020,Both sexes,40,85.65599999999999
26,2020,Both sexes,41,71.096
27,2020,Both sexes,42,56.143
28,2020,Both sexes,43,42.464
29,2020,Both sexes,44,30.609
30,2020,Both sexes,45,20.702
31,2020,Both sexes,46,14.193000000000001
32,2020,Both sexes,47,9.41
33,2020,Both sexes,48,6.024
34,2020,Both sexes,49,3.348
2,2030,Both sexes,15,39.574999999999996
19,2030,Both sexes,16,78.696
36,2030,Both sexes,17,118.738
53,2030,Both sexes,18,153.884
70,2030,Both sexes,19,172.048
87,2030,Both sexes,20,172.945
4,2030,Both sexes,21,169.326
21,2030,Both sexes,22,164.086
38,2030,Both sexes,23,160.487
55,2030,Both sexes,24,159.046
72,2030,Both sexes,25,159.06799999999998
89,2030,Both sexes,26,159.865
6,2030,Both sexes,27,160.59699999999998
23,2030,Both sexes,28,160.756
40,2030,Both sexes,29,159.06400000000002
57,2030,Both sexes,30,155.28300000000002
74,2030,Both sexes,31,150.46200000000002
91,2030,Both sexes,32,144.684
8,2030,Both sexes,33,138.03199999999998
25,2030,Both sexes,34,130.457
42,2030,Both sexes,35,121.844
59,2030,Both sexes,36,111.938
76,2030,Both sexes,37,101.49
93,2030,Both sexes,38,90.532
10,2030,Both sexes,39,78.673
27,2030,Both sexes,40,65.946
44,2030,Both sexes,41,53.268
61,2030,Both sexes,42,40.912
78,2030,Both sexes,43,29.933
95,2030,Both sexes,44,20.687
12,2030,Both sexes,45,13.124
29,2030,Both sexes,46,8.552999999999999
46,2030,Both sexes,47,5.263
63,2030,Both sexes,48,3.012
80,2030,Both sexes,49,1.479
2,2040,Both sexes,15,34.924
19,2040,Both sexes,16,71.634
36,2040,Both sexes,17,108.756
53,2040,Both sexes,18,140.303
70,2040,Both sexes,19,154.56
87,2040,Both sexes,20,151.719
4,2040,Both sexes,21,145.726
21,2040,Both sexes,22,139.37800000000001
38,2040,Both sexes,23,135.56
55,2040,Both sexes,24,134.597
72,2040,Both sexes,25,135.483
89,2040,Both sexes,26,137.419
6,2040,Both sexes,27,139.4
23,2040,Both sexes,28,140.83300000000003
40,2040,Both sexes,29,140.15
57,2040,Both sexes,30,136.994
74,2040,Both sexes,31,132.49
91,2040,Both sexes,32,126.776
8,2040,Both sexes,33,120.312
25,2040,Both sexes,34,113.06099999999999
42,2040,Both sexes,35,104.742
59,2040,Both sexes,36,94.908
76,2040,Both sexes,37,84.774
93,2040,Both sexes,38,74.41300000000001
10,2040,Both sexes,39,63.337
27,2040,Both sexes,40,51.498000000000005
44,2040,Both sexes,41,40.502
61,2040,Both sexes,42,30.319
78,2040,Both sexes,43,21.571
95,2040,Both sexes,44,14.461
12,2040,Both sexes,45,8.876999999999999
29,2040,Both sexes,46,5.628
46,2040,Both sexes,47,3.3240000000000003
63,2040,Both sexes,48,1.7810000000000001
80,2040,Both sexes,49,0.8109999999999999
2,2050,Both sexes,15,30.540000000000003
19,2050,Both sexes,16,64.607
36,2050,Both sexes,17,99.108
53,2050,Both sexes,18,127.96499999999999
70,2050,Both sexes,19,139.94
87,2050,Both sexes,20,135.4
4,2050,Both sexes,21,128.636
21,2050,Both sexes,22,122.253
38,2050,Both sexes,23,118.816
55,2050,Both sexes,24,118.56
72,2050,Both sexes,25,120.333
89,2050,Both sexes,26,123.303
6,2050,Both sexes,27,126.36
23,2050,Both sexes,28,128.859
40,2050,Both sexes,29,129.011
57,2050,Both sexes,30,126.36900000000001
74,2050,Both sexes,31,122.08099999999999
91,2050,Both sexes,32,116.33699999999999
8,2050,Both sexes,33,109.893
25,2050,Both sexes,34,102.728
42,2050,Both sexes,35,94.451
59,2050,Both sexes,36,84.51599999999999
76,2050,Both sexes,37,74.467
93,2050,Both sexes,38,64.408
10,2050,Both sexes,39,53.803999999999995
27,2050,Both sexes,40,42.574
44,2050,Both sexes,41,32.685
61,2050,Both sexes,42,23.897000000000002
78,2050,Both sexes,43,16.573
95,2050,Both sexes,44,10.812000000000001
12,2050,Both sexes,45,6.4559999999999995
29,2050,Both sexes,46,3.995
46,2050,Both sexes,47,2.277
63,2050,Both sexes,48,1.1540000000000001
80,2050,Both sexes,49,0.49299999999999994
2,2060,Both sexes,15,26.313
19,2060,Both sexes,16,57.410000000000004
36,2060,Both sexes,17,89.35600000000001
53,2060,Both sexes,18,116.1
70,2060,Both sexes,19,126.97900000000001
87,2060,Both sexes,20,122.22800000000001
4,2060,Both sexes,21,115.802
21,2060,Both sexes,22,110.10000000000001
38,2060,Both sexes,23,107.45100000000001
55,2060,Both sexes,24,108.087
72,2060,Both sexes,25,110.818
89,2060,Both sexes,26,114.833
6,2060,Both sexes,27,118.935
23,2060,Both sexes,28,122.443
40,2060,Both sexes,29,123.369
57,2060,Both sexes,30,121.193
74,2060,Both sexes,31,117.044
91,2060,Both sexes,32,111.17200000000001
8,2060,Both sexes,33,104.59100000000001
25,2060,Both sexes,34,97.303
42,2060,Both sexes,35,88.838
59,2060,Both sexes,36,78.602
76,2060,Both sexes,37,68.402
93,2060,Both sexes,38,58.375
10,2060,Both sexes,39,47.958
27,2060,Both sexes,40,37.053000000000004
44,2060,Both sexes,41,27.838
61,2060,Both sexes,42,19.921999999999997
78,2060,Both sexes,43,13.499
95,2060,Both sexes,44,8.599
12,2060,Both sexes,45,5.021
29,2060,Both sexes,46,3.041
46,2060,Both sexes,47,1.683
63,2060,Both sexes,48,0.8140000000000001
80,2060,Both sexes,49,0.33
2,2070,Both sexes,15,21.913999999999998
19,2070,Both sexes,16,49.306999999999995
36,2070,Both sexes,17,78.193
53,2070,Both sexes,18,102.797
70,2070,Both sexes,19,113.282
87,2070,Both sexes,20,109.496
4,2070,Both sexes,21,104.307
21,2070,Both sexes,22,99.887
38,2070,Both sexes,23,98.37
55,2070,Both sexes,24,100.063
72,2070,Both sexes,25,103.827
89,2070,Both sexes,26,108.91000000000001
6,2070,Both sexes,27,114.052
23,2070,Both sexes,28,118.549
40,2070,Both sexes,29,120.24600000000001
57,2070,Both sexes,30,118.559
74,2070,Both sexes,31,114.557
91,2070,Both sexes,32,108.542
8,2070,Both sexes,33,101.768
25,2070,Both sexes,34,94.26700000000001
42,2070,Both sexes,35,85.512
59,2070,Both sexes,36,74.905
76,2070,Both sexes,37,64.464
93,2070,Both sexes,38,54.357
10,2070,Both sexes,39,44.007999999999996
27,2070,Both sexes,40,33.312000000000005
44,2070,Both sexes,41,24.552999999999997
61,2070,Both sexes,42,17.235
78,2070,Both sexes,43,11.437
95,2070,Both sexes,44,7.138
12,2070,Both sexes,45,4.0969999999999995
29,2070,Both sexes,46,2.437
46,2070,Both sexes,47,1.315
63,2070,Both sexes,48,0.614
80,2070,Both sexes,49,0.23900000000000002
2,2080,Both sexes,15,17.65
19,2080,Both sexes,16,40.946999999999996
36,2080,Both sexes,17,66.43599999999999
53,2080,Both sexes,18,88.857
70,2080,Both sexes,19,99.408
87,2080,Both sexes,20,97.39299999999999
4,2080,Both sexes,21,94.06
21,2080,Both sexes,22,91.345
38,2080,Both sexes,23,91.225
55,2080,Both sexes,24,94.128
72,2080,Both sexes,25,99.028
89,2080,Both sexes,26,105.259
6,2080,Both sexes,27,111.498
23,2080,Both sexes,28,117.02600000000001
40,2080,Both sexes,29,119.533
57,2080,Both sexes,30,118.384
74,2080,Both sexes,31,114.53399999999999
91,2080,Both sexes,32,108.342
8,2080,Both sexes,33,101.29599999999999
25,2080,Both sexes,34,93.467
42,2080,Both sexes,35,84.287
59,2080,Both sexes,36,73.191
76,2080,Both sexes,37,62.373
93,2080,Both sexes,38,52.035
10,2080,Both sexes,39,41.603
27,2080,Both sexes,40,30.956
44,2080,Both sexes,41,22.442
61,2080,Both sexes,42,15.485000000000001
78,2080,Both sexes,43,10.087
95,2080,Both sexes,44,6.188
12,2080,Both sexes,45,3.5100000000000002
29,2080,Both sexes,46,2.057
46,2080,Both sexes,47,1.089
63,2080,Both sexes,48,0.495
80,2080,Both sexes,49,0.188
2,2090,Both sexes,15,13.617
19,2090,Both sexes,16,32.561
36,2090,Both sexes,17,54.269999999999996
53,2090,Both sexes,18,74.252
70,2090,Both sexes,19,84.975
87,2090,Both sexes,20,85.191
4,2090,Both sexes,21,84.113
21,2090,Both sexes,22,83.41
38,2090,Both sexes,23,84.892
55,2090,Both sexes,24,89.128
72,2090,Both sexes,25,95.248
89,2090,Both sexes,26,102.69300000000001
6,2090,Both sexes,27,110.077
23,2090,Both sexes,28,116.676
40,2090,Both sexes,29,120.048
57,2090,Both sexes,30,119.52
74,2090,Both sexes,31,115.871
91,2090,Both sexes,32,109.515
8,2090,Both sexes,33,102.17
25,2090,Both sexes,34,93.95299999999999
42,2090,Both sexes,35,84.275
59,2090,Both sexes,36,72.63699999999999
76,2090,Both sexes,37,61.375
93,2090,Both sexes,38,50.729000000000006
10,2090,Both sexes,39,40.135999999999996
27,2090,Both sexes,40,29.456
44,2090,Both sexes,41,21.058
61,2090,Both sexes,42,14.312999999999999
78,2090,Both sexes,43,9.173
95,2090,Both sexes,44,5.551
12,2090,Both sexes,45,3.128
29,2090,Both sexes,46,1.811
46,2090,Both sexes,47,0.9460000000000001
63,2090,Both sexes,48,0.423
80,2090,Both sexes,49,0.158
