,Time,Sex,AgeStart,Value
0,1990,Male,0,0.12016545
1,1990,Female,0,0.10324135
3,1990,Male,1,0.04079792
4,1990,Female,1,0.03857072
6,1990,Male,2,0.02494653
7,1990,Female,2,0.02368955
9,1990,Male,3,0.0166005
10,1990,Female,3,0.01571633
12,1990,Male,4,0.01119918
13,1990,Female,4,0.01049762
15,1990,Male,5,0.00816236
16,1990,Female,5,0.00761241
18,1990,Male,6,0.00655684
19,1990,Female,6,0.00608236
21,1990,Male,7,0.00538452
22,1990,Female,7,0.00503234
24,1990,Male,8,0.00460858
25,1990,Female,8,0.00432544
27,1990,Male,9,0.00409292
28,1990,Female,9,0.00387245
30,1990,Male,10,0.00374501
31,1990,Female,10,0.00361892
33,1990,Male,11,0.00349514
34,1990,Female,11,0.00348802
36,1990,Male,12,0.00345499
37,1990,Female,12,0.0034728
39,1990,Male,13,0.00350309
40,1990,Female,13,0.00351095
42,1990,Male,14,0.00363627
43,1990,Female,14,0.00365339
45,1990,Male,15,0.00381819
46,1990,Female,15,0.00383708
48,1990,Male,16,0.00409346
49,1990,Female,16,0.00410554
51,1990,Male,17,0.00446868
52,1990,Female,17,0.00438034
54,1990,Male,18,0.00483614
55,1990,Female,18,0.00471039
57,1990,Male,19,0.0053495
58,1990,Female,19,0.00504424
60,1990,Male,20,0.0059029
61,1990,Female,20,0.00542502
63,1990,Male,21,0.00639631
64,1990,Female,21,0.00582524
66,1990,Male,22,0.00681743
67,1990,Female,22,0.00622585
69,1990,Male,23,0.00713796
70,1990,Female,23,0.00660191
72,1990,Male,24,0.00740608
73,1990,Female,24,0.0069727
75,1990,Male,25,0.00762156
76,1990,Female,25,0.00734795
78,1990,Male,26,0.00781592
79,1990,Female,26,0.00766732
81,1990,Male,27,0.00803124
82,1990,Female,27,0.00795657
84,1990,Male,28,0.0082667
85,1990,Female,28,0.00827074
87,1990,Male,29,0.00849505
88,1990,Female,29,0.00845145
90,1990,Male,30,0.00886128
91,1990,Female,30,0.00878517
93,1990,Male,31,0.00906586
94,1990,Female,31,0.00893409
96,1990,Male,32,0.009507
97,1990,Female,32,0.00926094
99,1990,Male,33,0.00986263
0,1990,Female,33,0.00952205
2,1990,Male,34,0.01022455
3,1990,Female,34,0.00981449
5,1990,Male,35,0.01069449
6,1990,Female,35,0.01008464
8,1990,Male,36,0.01109129
9,1990,Female,36,0.01037097
11,1990,Male,37,0.01146325
12,1990,Female,37,0.01061188
14,1990,Male,38,0.01190073
15,1990,Female,38,0.01095739
17,1990,Male,39,0.01225526
18,1990,Female,39,0.0111431
20,1990,Male,40,0.01281637
21,1990,Female,40,0.01153078
23,1990,Male,41,0.01300516
24,1990,Female,41,0.01152839
26,1990,Male,42,0.0136073
27,1990,Female,42,0.01191696
29,1990,Male,43,0.01390662
30,1990,Female,43,0.01198757
32,1990,Male,44,0.01439499
33,1990,Female,44,0.01221134
35,1990,Male,45,0.01498484
36,1990,Female,45,0.01250521
38,1990,Male,46,0.01539113
39,1990,Female,46,0.01274787
41,1990,Male,47,0.01601961
42,1990,Female,47,0.01306433
44,1990,Male,48,0.01684161
45,1990,Female,48,0.01366724
47,1990,Male,49,0.01759581
48,1990,Female,49,0.01422111
50,1990,Male,50,0.0186924
51,1990,Female,50,0.01515242
53,1990,Male,51,0.01923745
54,1990,Female,51,0.01557862
56,1990,Male,52,0.02038847
57,1990,Female,52,0.01657666
59,1990,Male,53,0.02115326
60,1990,Female,53,0.01723565
62,1990,Male,54,0.02208807
63,1990,Female,54,0.0180962
65,1990,Male,55,0.02302491
66,1990,Female,55,0.01893182
68,1990,Male,56,0.02408115
69,1990,Female,56,0.0199133
71,1990,Male,57,0.02520557
72,1990,Female,57,0.02090947
74,1990,Male,58,0.02686392
75,1990,Female,58,0.0224661
77,1990,Male,59,0.02858635
78,1990,Female,59,0.02402826
80,1990,Male,60,0.03113864
81,1990,Female,60,0.02651896
83,1990,Male,61,0.03281849
84,1990,Female,61,0.0279404
86,1990,Male,62,0.03571642
87,1990,Female,62,0.0307394
89,1990,Male,63,0.03832735
90,1990,Female,63,0.03326024
92,1990,Male,64,0.04117398
93,1990,Female,64,0.0360787
95,1990,Male,65,0.04432018
96,1990,Female,65,0.0392618
98,1990,Male,66,0.04695944
99,1990,Female,66,0.04161373
1,1990,Male,67,0.05022154
2,1990,Female,67,0.04451994
4,1990,Male,68,0.05398487
5,1990,Female,68,0.0480843
7,1990,Male,69,0.05785519
8,1990,Female,69,0.05147028
10,1990,Male,70,0.06363852
11,1990,Female,70,0.05705585
13,1990,Male,71,0.06733902
14,1990,Female,71,0.05987699
16,1990,Male,72,0.07407859
17,1990,Female,72,0.06585673
19,1990,Male,73,0.07986555
20,1990,Female,73,0.07064939
22,1990,Male,74,0.08648283
23,1990,Female,74,0.0761337
25,1990,Male,75,0.09374784
26,1990,Female,75,0.08223689
28,1990,Male,76,0.10088294
29,1990,Female,76,0.08758928
31,1990,Male,77,0.1086072
32,1990,Female,77,0.09348915
34,1990,Male,78,0.11813718
35,1990,Female,78,0.10124229
37,1990,Male,79,0.1267692
38,1990,Female,79,0.10755787
40,1990,Male,80,0.13803666
41,1990,Female,80,0.11639978
43,1990,Male,81,0.14697587
44,1990,Female,81,0.12292877
46,1990,Male,82,0.16217707
47,1990,Female,82,0.13670741
49,1990,Male,83,0.17570947
50,1990,Female,83,0.1483878
52,1990,Male,84,0.19174091
53,1990,Female,84,0.16241701
55,1990,Male,85,0.20564485
56,1990,Female,85,0.17536137
58,1990,Male,86,0.22152873
59,1990,Female,86,0.18874198
61,1990,Male,87,0.23720415
62,1990,Female,87,0.20244919
64,1990,Male,88,0.25467226
65,1990,Female,88,0.21812961
67,1990,Male,89,0.27096447
68,1990,Female,89,0.23213051
70,1990,Male,90,0.29202639
71,1990,Female,90,0.25378755
73,1990,Male,91,0.30579687
74,1990,Female,91,0.2647557
76,1990,Male,92,0.32812946
77,1990,Female,92,0.28651708
79,1990,Male,93,0.34833301
80,1990,Female,93,0.3053313
82,1990,Male,94,0.37048369
83,1990,Female,94,0.32633839
85,1990,Male,95,0.39609527
86,1990,Female,95,0.34942599
88,1990,Male,96,0.4179946
89,1990,Female,96,0.37032467
91,1990,Male,97,0.4391441
92,1990,Female,97,0.39082197
94,1990,Male,98,0.45941704
95,1990,Female,98,0.41077341
97,1990,Male,99,0.48540231
98,1990,Female,99,0.43595619
0,1990,Male,100,0.53729649
1,1990,Female,100,0.4909194
0,2000,Male,0,0.10483837
1,2000,Female,0,0.0888424
3,2000,Male,1,0.03046577
4,2000,Female,1,0.02893056
6,2000,Male,2,0.01943445
7,2000,Female,2,0.01811233
9,2000,Male,3,0.01305081
10,2000,Female,3,0.01182294
12,2000,Male,4,0.00901956
13,2000,Female,4,0.00784715
15,2000,Male,5,0.0065537
16,2000,Female,5,0.00563605
18,2000,Male,6,0.00537994
19,2000,Female,6,0.00454055
21,2000,Male,7,0.00454831
22,2000,Female,7,0.00388226
24,2000,Male,8,0.00395265
25,2000,Female,8,0.00340127
27,2000,Male,9,0.00354034
28,2000,Female,9,0.00311649
30,2000,Male,10,0.00330374
31,2000,Female,10,0.00295164
33,2000,Male,11,0.00318751
34,2000,Female,11,0.00287545
36,2000,Male,12,0.00320343
37,2000,Female,12,0.00293883
39,2000,Male,13,0.00330415
40,2000,Female,13,0.00309287
42,2000,Male,14,0.00352061
43,2000,Female,14,0.00333264
45,2000,Male,15,0.00382428
46,2000,Female,15,0.0036778
48,2000,Male,16,0.00417399
49,2000,Female,16,0.00403604
51,2000,Male,17,0.0046957
52,2000,Female,17,0.00451529
54,2000,Male,18,0.00521044
55,2000,Female,18,0.00503506
57,2000,Male,19,0.00580737
58,2000,Female,19,0.00560218
60,2000,Male,20,0.00648829
61,2000,Female,20,0.00626113
63,2000,Male,21,0.007141
64,2000,Female,21,0.0068562
66,2000,Male,22,0.00777075
