,Time,Sex,AgeStart,Value
2,2000,Both sexes,0,403534.0
5,2000,Both sexes,1,378968.0
8,2000,Both sexes,2,355550.5
11,2000,Both sexes,3,335078.5
14,2000,Both sexes,4,318381.5
17,2000,Both sexes,5,309773.5
20,2000,Both sexes,6,308332.5
23,2000,Both sexes,7,312423.5
26,2000,Both sexes,8,315291.0
29,2000,Both sexes,9,312502.5
32,2000,Both sexes,10,310803.5
35,2000,Both sexes,11,310538.0
38,2000,Both sexes,12,312304.0
41,2000,Both sexes,13,335563.0
44,2000,Both sexes,14,358145.0
47,2000,Both sexes,15,358052.5
50,2000,Both sexes,16,353249.0
53,2000,Both sexes,17,343601.5
56,2000,Both sexes,18,333992.5
59,2000,Both sexes,19,315844.0
62,2000,Both sexes,20,293751.5
65,2000,Both sexes,21,279164.0
68,2000,Both sexes,22,263884.0
71,2000,Both sexes,23,245974.5
74,2000,Both sexes,24,227674.0
77,2000,Both sexes,25,208545.5
80,2000,Both sexes,26,192000.0
83,2000,Both sexes,27,179556.5
86,2000,Both sexes,28,166952.0
89,2000,Both sexes,29,154279.5
92,2000,Both sexes,30,142691.5
95,2000,Both sexes,31,132957.5
98,2000,Both sexes,32,124387.5
1,2000,Both sexes,33,115854.0
4,2000,Both sexes,34,107335.0
7,2000,Both sexes,35,99450.0
10,2000,Both sexes,36,93254.5
13,2000,Both sexes,37,89207.0
16,2000,Both sexes,38,86511.5
19,2000,Both sexes,39,84544.5
22,2000,Both sexes,40,83084.0
25,2000,Both sexes,41,82054.0
28,2000,Both sexes,42,81444.5
31,2000,Both sexes,43,81079.5
34,2000,Both sexes,44,80790.0
37,2000,Both sexes,45,80568.0
40,2000,Both sexes,46,80083.0
43,2000,Both sexes,47,78947.0
46,2000,Both sexes,48,77311.5
49,2000,Both sexes,49,75418.0
52,2000,Both sexes,50,72819.5
55,2000,Both sexes,51,62231.0
58,2000,Both sexes,52,54040.0
61,2000,Both sexes,53,54243.0
64,2000,Both sexes,54,53129.5
67,2000,Both sexes,55,51264.5
70,2000,Both sexes,56,49032.5
73,2000,Both sexes,57,46515.5
76,2000,Both sexes,58,43973.5
79,2000,Both sexes,59,41744.0
82,2000,Both sexes,60,39772.5
85,2000,Both sexes,61,37787.0
88,2000,Both sexes,62,36146.0
91,2000,Both sexes,63,35228.5
94,2000,Both sexes,64,34691.5
97,2000,Both sexes,65,34171.0
0,2000,Both sexes,66,32996.0
3,2000,Both sexes,67,32476.999999999996
6,2000,Both sexes,68,32110.999999999996
9,2000,Both sexes,69,31533.5
12,2000,Both sexes,70,30718.0
15,2000,Both sexes,71,29310.0
18,2000,Both sexes,72,27145.0
21,2000,Both sexes,73,22130.0
24,2000,Both sexes,74,17717.5
27,2000,Both sexes,75,16003.499999999998
30,2000,Both sexes,76,14269.0
33,2000,Both sexes,77,12574.0
36,2000,Both sexes,78,10854.5
39,2000,Both sexes,79,9549.5
42,2000,Both sexes,80,8639.0
45,2000,Both sexes,81,7759.5
48,2000,Both sexes,82,6788.0
51,2000,Both sexes,83,5840.0
54,2000,Both sexes,84,4928.5
57,2000,Both sexes,85,4788.0
60,2000,Both sexes,86,4414.0
63,2000,Both sexes,87,3244.5
66,2000,Both sexes,88,2333.0
69,2000,Both sexes,89,1761.0
72,2000,Both sexes,90,1330.5
75,2000,Both sexes,91,991.0
78,2000,Both sexes,92,732.0
81,2000,Both sexes,93,527.5
84,2000,Both sexes,94,371.0
87,2000,Both sexes,95,254.5
90,2000,Both sexes,96,174.0
93,2000,Both sexes,97,117.5
96,2000,Both sexes,98,77.0
99,2000,Both sexes,99,50.0
2,2000,Both sexes,100,74.0
